,d,Method,P_value,GT,Time
389,8,DINE_CIT,0.0,False,4.330951929092407
390,8,DINE_CIT,0.0,False,1.8697540760040283
391,8,DINE_CIT,0.0,False,4.256569147109985
392,8,DINE_CIT,0.0,False,5.072582960128784
393,8,DINE_CIT,0.0,False,4.604084014892578
394,8,DINE_CIT,0.0,False,2.5594019889831543
395,8,DINE_CIT,0.0,False,1.8989341259002688
396,8,DINE_CIT,0.0,False,1.9165630340576167
397,8,DINE_CIT,0.0,False,2.849461078643799
398,8,DINE_CIT,0.0,False,5.87913703918457
399,8,DINE_CIT,0.0,False,1.9897890090942385
400,11,DINE_CIT,0.2,True,3.215379238128662
401,11,DINE_CIT,0.23,True,3.330277919769287
402,11,DINE_CIT,0.71,True,2.073827028274536
403,11,DINE_CIT,0.64,True,2.444685935974121
404,11,DINE_CIT,0.25,True,2.31587815284729
405,11,DINE_CIT,0.15,True,5.624028921127319
406,11,DINE_CIT,0.19,True,5.918905735015869
407,11,DINE_CIT,0.92,True,4.775446891784668
408,11,DINE_CIT,0.36,True,2.8620119094848637
409,11,DINE_CIT,0.74,True,3.2929608821868896
410,11,DINE_CIT,0.87,True,2.061847925186157
411,11,DINE_CIT,0.53,True,8.955121994018555
412,11,DINE_CIT,0.2,True,4.205744743347168
413,11,DINE_CIT,0.19,True,5.160111904144287
414,11,DINE_CIT,0.98,True,3.1786608695983887
415,11,DINE_CIT,0.38,True,3.460412979125977
416,11,DINE_CIT,0.66,True,3.0416409969329834
417,11,DINE_CIT,0.63,True,4.0775251388549805
418,11,DINE_CIT,0.18,True,2.555112838745117
419,11,DINE_CIT,0.62,True,2.9948549270629883
420,11,DINE_CIT,0.05,True,5.447582006454468
421,11,DINE_CIT,0.81,True,3.329976797103882
422,11,DINE_CIT,0.48,True,2.871912002563477
423,11,DINE_CIT,0.28,True,3.2697410583496094
424,11,DINE_CIT,0.38,True,5.64474892616272
425,11,DINE_CIT,0.46,True,4.534201145172119
426,11,DINE_CIT,0.16,True,3.423475980758667
427,11,DINE_CIT,0.27,True,2.2184717655181885
428,11,DINE_CIT,0.43,True,3.132651090621948
429,11,DINE_CIT,0.06,True,2.437623977661133
430,11,DINE_CIT,0.94,True,8.045492172241211
431,11,DINE_CIT,0.26,True,7.116038799285889
432,11,DINE_CIT,0.8,True,5.554313898086548
433,11,DINE_CIT,0.72,True,2.1643519401550293
434,11,DINE_CIT,0.12,True,4.916051864624023
435,11,DINE_CIT,0.07,True,2.695251226425171
436,11,DINE_CIT,0.26,True,5.185925960540772
437,11,DINE_CIT,0.39,True,2.129948139190674
438,11,DINE_CIT,0.41,True,3.7208662033081055
439,11,DINE_CIT,0.35,True,5.239403963088989
440,11,DINE_CIT,0.48,True,2.0154948234558105
441,11,DINE_CIT,0.15,True,3.78095006942749
442,11,DINE_CIT,0.59,True,1.959388017654419
443,11,DINE_CIT,0.68,True,2.386291980743408
444,11,DINE_CIT,0.15,True,4.127826929092407
445,11,DINE_CIT,0.58,True,4.121539831161499
446,11,DINE_CIT,0.81,True,4.858489036560059
447,11,DINE_CIT,0.73,True,3.002028703689575
448,11,DINE_CIT,0.53,True,2.234671115875244
449,11,DINE_CIT,0.71,True,2.4198262691497803
450,11,DINE_CIT,0.89,True,5.635751962661743
451,11,DINE_CIT,0.07,True,2.714433193206787
452,11,DINE_CIT,0.92,True,3.142184019088745
453,11,DINE_CIT,0.69,True,5.08315896987915
454,11,DINE_CIT,0.43,True,2.43011212348938
455,11,DINE_CIT,0.31,True,1.8663232326507568
456,11,DINE_CIT,0.93,True,4.016678094863892
457,11,DINE_CIT,0.56,True,2.615271806716919
458,11,DINE_CIT,0.69,True,2.675954818725586
459,11,DINE_CIT,0.36,True,2.5721371173858643
460,11,DINE_CIT,0.79,True,10.806151151657104
461,11,DINE_CIT,0.24,True,3.901643037796021
462,11,DINE_CIT,0.9,True,3.55049204826355
463,11,DINE_CIT,0.17,True,12.779438734054564
464,11,DINE_CIT,0.82,True,11.954384088516235
465,11,DINE_CIT,0.41,True,4.141069173812866
466,11,DINE_CIT,0.59,True,6.1960039138793945
467,11,DINE_CIT,0.72,True,6.299331903457642
468,11,DINE_CIT,0.04,True,2.788733959197998
469,11,DINE_CIT,0.0,True,2.117824077606201
470,11,DINE_CIT,0.04,True,4.476657867431641
471,11,DINE_CIT,0.73,True,3.827040910720825
472,11,DINE_CIT,0.03,True,9.62991714477539
473,11,DINE_CIT,0.03,True,4.655522108078003
474,11,DINE_CIT,0.36,True,2.100823163986206
475,11,DINE_CIT,0.62,True,3.068708658218384
476,11,DINE_CIT,0.32,True,4.189873218536377
477,11,DINE_CIT,0.95,True,2.7173728942871094
478,11,DINE_CIT,0.05,True,3.649595022201538
479,11,DINE_CIT,0.37,True,3.216287136077881
480,11,DINE_CIT,0.03,True,1.9153590202331543
481,11,DINE_CIT,0.35,True,2.938055992126465
482,11,DINE_CIT,0.54,True,2.6024889945983887
483,11,DINE_CIT,0.64,True,2.480889081954956
484,11,DINE_CIT,0.0,False,2.865349054336548
485,11,DINE_CIT,0.0,False,2.0465447902679443
486,11,DINE_CIT,0.0,False,3.319732427597046
487,11,DINE_CIT,0.0,False,3.728425025939941
488,11,DINE_CIT,0.17,True,3.4168641567230225
489,11,DINE_CIT,0.76,True,4.444590091705322
490,11,DINE_CIT,0.16,True,4.985366106033325
491,11,DINE_CIT,0.22,True,2.175153970718384
492,11,DINE_CIT,0.41,True,1.9991490840911863
493,11,DINE_CIT,0.53,True,5.2731239795684814
494,11,DINE_CIT,0.73,True,4.531695127487183
495,11,DINE_CIT,0.3,True,4.104297876358032
496,11,DINE_CIT,0.52,True,2.77345871925354
497,11,DINE_CIT,0.26,True,3.758188009262085
498,11,DINE_CIT,0.67,True,2.3074419498443604
499,11,DINE_CIT,0.46,True,3.229429006576538
500,11,DINE_CIT,0.98,True,12.2410888671875
501,11,DINE_CIT,0.32,True,2.510229110717773
502,11,DINE_CIT,0.76,True,5.420752048492432
503,11,DINE_CIT,0.11,True,2.5702857971191406
504,11,DINE_CIT,0.0,False,2.264403820037842
505,11,DINE_CIT,0.0,False,2.3401267528533936
506,11,DINE_CIT,0.0,False,3.760708332061768
507,11,DINE_CIT,0.0,False,3.0014610290527344
508,11,DINE_CIT,0.0,False,4.873889923095703
509,11,DINE_CIT,0.0,False,5.639995098114014
510,11,DINE_CIT,0.0,False,3.987874984741211
511,11,DINE_CIT,0.0,False,3.810458898544312
512,11,DINE_CIT,0.0,False,2.3875539302825928
513,11,DINE_CIT,0.0,False,4.268001079559326
514,11,DINE_CIT,0.0,False,2.239742994308472
515,11,DINE_CIT,0.0,False,2.795944929122925
516,11,DINE_CIT,0.0,False,7.096679925918579
517,11,DINE_CIT,0.0,False,1.8912599086761477
518,11,DINE_CIT,0.0,False,4.459269046783447
519,11,DINE_CIT,0.0,False,3.880635261535645
520,11,DINE_CIT,0.0,False,8.721637964248657
521,11,DINE_CIT,0.0,False,3.26723313331604
522,11,DINE_CIT,0.0,False,3.4566338062286377
523,11,DINE_CIT,0.0,False,4.642768859863281
524,11,DINE_CIT,0.0,False,2.3015761375427246
525,11,DINE_CIT,0.0,False,5.24554705619812
526,11,DINE_CIT,0.0,False,2.257589101791382
527,11,DINE_CIT,0.0,False,3.8367109298706055
528,11,DINE_CIT,0.0,False,3.732845067977905
529,11,DINE_CIT,0.0,False,3.905864953994751
