,N,d,Method,GT,rho,random_state,Pred,Time
1247,1000,20,CCMI,8.26678573184468,-0.75,49,0.3605394959449768,13.460132837295532
1248,200,2,LMI,0.2876820724517809,-0.5,24,0.15762191311402313,1.9155919551849365
1249,200,2,KSG,0.2876820724517809,-0.5,24,0.11349880958724323,0.0039103031158447266
1250,200,2,CCMI,0.2876820724517809,-0.5,24,0.014800953678786755,7.702438831329346
1251,200,2,LMI,0.2876820724517809,-0.5,25,0.3262838239328382,2.0415091514587402
1252,200,2,KSG,0.2876820724517809,-0.5,25,0.1078828762722418,0.003134012222290039
1253,200,2,CCMI,0.2876820724517809,-0.5,25,0.012419026345014572,8.353081941604614
1254,200,2,LMI,0.2876820724517809,-0.5,26,0.31880270578175984,0.7438819408416748
1255,200,2,KSG,0.2876820724517809,-0.5,26,0.1914670658570351,0.003599882125854492
1256,200,2,CCMI,0.2876820724517809,-0.5,18,0.03792618587613106,8.289418935775757
1257,200,2,LMI,0.2876820724517809,-0.5,19,0.23606106831390045,1.0403330326080322
1258,200,2,KSG,0.2876820724517809,-0.5,19,0.16372641435859314,0.004187822341918945
1259,200,2,CCMI,0.2876820724517809,-0.5,19,0.1294698268175125,7.949501991271973
1260,200,2,LMI,0.2876820724517809,-0.5,20,0.23022968755781636,1.5267350673675537
1261,200,2,KSG,0.2876820724517809,-0.5,20,0.19090721973981883,0.003129243850708008
1262,200,2,CCMI,0.2876820724517809,-0.5,20,0.011973483487963676,7.764402866363525
1263,200,2,LMI,0.2876820724517809,-0.5,21,0.3805863226018033,0.7107131481170654
1264,1000,20,CCMI,8.26678573184468,-0.75,44,0.1940598338842392,14.982712984085083
1265,1000,20,LMI,8.26678573184468,-0.75,45,7.688096343700033,10.530592918395996
1266,1000,20,KSG,8.26678573184468,-0.75,45,0.3543064999544868,0.3010220527648926
1267,1000,20,CCMI,8.26678573184468,-0.75,45,0.48075801134109497,14.348120927810669
1268,1000,20,LMI,8.26678573184468,-0.75,46,7.788690947132346,5.131956100463867
1269,1000,20,KSG,8.26678573184468,-0.75,46,0.67673384361803,0.2326650619506836
