,N,d,Method,GT,rho,random_state,Pred,Time
41,200,2,MIND,3.9170355472516896,-0.99,7,2.177294131353622,19.066861867904663
42,200,2,MINE,3.9170355472516896,-0.99,24,1.0549156665802002,1.5432960987091064
43,200,2,MIND,3.9170355472516896,-0.99,24,2.157384749983461,11.734936714172363
44,200,2,MINE,3.9170355472516896,-0.99,25,0.8669041991233826,2.07657790184021
45,200,2,MIND,3.9170355472516896,-0.99,25,2.117675898305853,14.537930965423584
46,200,2,MINE,3.9170355472516896,-0.99,26,1.3855255842208862,2.886698007583618
47,200,2,MINE,3.9170355472516896,-0.99,21,1.9771337509155276,1.7616488933563232
48,200,2,MIND,3.9170355472516896,-0.99,21,2.3053293172922413,12.909415006637571
49,200,2,MINE,3.9170355472516896,-0.99,22,1.1854597330093384,2.570554256439209
50,200,2,MIND,3.9170355472516896,-0.99,22,2.167477572509891,12.13178277015686
51,200,2,MINE,3.9170355472516896,-0.99,23,1.421149969100952,2.1109769344329834
52,200,2,MIND,3.9170355472516896,-0.99,23,2.154413488960555,15.727940082550049
53,200,2,MIND,3.9170355472516896,-0.99,26,2.3167738001429474,11.94982099533081
54,200,2,MINE,3.9170355472516896,-0.99,27,1.3715343475341797,1.999695062637329
55,200,2,MIND,3.9170355472516896,-0.99,27,2.244120727079033,15.076181173324583
56,200,2,MINE,3.9170355472516896,-0.99,28,2.4451260566711426,2.6287221908569336
57,200,2,MIND,3.9170355472516896,-0.99,28,2.089279220339453,12.893497943878174
58,200,2,MINE,3.9170355472516896,-0.99,40,1.099038004875183,1.900925874710083
59,200,2,MIND,3.9170355472516896,-0.99,40,2.141608811986595,15.139862060546877
60,200,2,MINE,3.9170355472516896,-0.99,41,1.8090665340423584,2.2727060317993164
61,200,2,MIND,3.9170355472516896,-0.99,41,2.0370529084346973,14.261502981185911
62,200,2,MINE,3.9170355472516896,-0.99,42,1.0563265085220337,2.388550043106079
63,200,2,MINE,3.9170355472516896,-0.99,32,1.3314242362976074,1.6658039093017578
64,200,2,MIND,3.9170355472516896,-0.99,32,2.06291600597397,16.758558988571167
65,200,2,MINE,3.9170355472516896,-0.99,33,0.756945013999939,2.142918825149536
66,200,2,MIND,3.9170355472516896,-0.99,33,3.372082961843614,15.607358932495115
67,200,2,MINE,3.9170355472516896,-0.99,34,1.2281231880187988,2.1957361698150635
68,200,2,MIND,3.9170355472516896,-0.99,34,1.989565037201526,15.919684886932371
69,200,2,MINE,3.9170355472516896,-0.99,35,1.3559550046920776,2.048598051071167
70,200,2,MIND,3.9170355472516896,-0.99,35,2.2121688389026426,14.398152828216553
71,200,2,MINE,3.9170355472516896,-0.99,36,0.9567083120346068,1.9129319190979004
72,200,2,MIND,3.9170355472516896,-0.99,36,2.087993215260343,15.762555837631226
73,200,2,MINE,3.9170355472516896,-0.99,29,1.774361491203308,2.266068935394287
74,200,2,MIND,3.9170355472516896,-0.99,29,2.1457663123194064,12.979061126708984
75,200,2,MINE,3.9170355472516896,-0.99,30,1.2356888055801392,2.301813125610352
76,200,2,MIND,3.9170355472516896,-0.99,30,2.026090109350617,18.45917224884033
77,200,2,MINE,3.9170355472516896,-0.99,31,1.407009840011597,1.5958647727966309
78,200,2,MIND,3.9170355472516896,-0.99,31,2.083759808503092,15.48799991607666
79,200,2,MINE,3.9170355472516896,-0.99,37,2.531935691833496,1.8807759284973145
80,200,2,MIND,3.9170355472516896,-0.99,37,2.13710392342628,13.921682119369509
81,200,2,MINE,3.9170355472516896,-0.99,38,1.526821255683899,3.915926933288574
82,200,2,MIND,3.9170355472516896,-0.99,38,2.118431571113325,17.163377046585083
83,200,2,MINE,3.9170355472516896,-0.99,39,1.2166568040847778,1.6583290100097656
84,200,2,MIND,3.9170355472516896,-0.99,39,1.5709199949957404,14.647218942642212
85,200,2,MIND,3.9170355472516896,-0.99,42,1.9422494224596976,10.999969005584717
86,200,2,MINE,3.9170355472516896,-0.99,43,1.147227168083191,1.755868911743164
87,200,2,MIND,3.9170355472516896,-0.99,43,2.216095925795173,16.176278114318848
88,200,2,MINE,3.9170355472516896,-0.99,44,1.2280232906341553,3.2308740615844727
89,200,2,MIND,3.9170355472516896,-0.99,44,1.9568421078858265,16.35101008415222
90,200,2,MINE,3.9170355472516896,-0.99,48,1.6872472763061523,2.336182117462158
91,200,2,MIND,3.9170355472516896,-0.99,48,2.0628170984149463,14.153275966644289
92,200,2,MINE,3.9170355472516896,-0.99,49,2.390787363052368,3.0644989013671875
93,200,2,MIND,3.9170355472516896,-0.99,49,2.241575758014052,14.892578125
94,1000,2,MINE,3.9170355472516896,-0.99,0,3.199667692184448,9.460127830505373
95,200,2,MINE,3.9170355472516896,-0.99,45,1.2322245836257937,1.9704492092132568
96,200,2,MIND,3.9170355472516896,-0.99,45,2.1382218343103743,17.95218586921692
97,200,2,MINE,3.9170355472516896,-0.99,46,1.34034526348114,1.8261101245880127
98,200,2,MIND,3.9170355472516896,-0.99,46,2.1183210978995466,18.499991178512573
99,200,2,MINE,3.9170355472516896,-0.99,47,1.3908860683441162,2.0590808391571045
100,200,2,MIND,3.9170355472516896,-0.99,47,2.1046663335428653,18.082662105560303
101,1000,2,MINE,3.9170355472516896,-0.99,11,1.6158448457717896,8.67211627960205
102,1000,2,MIND,3.9170355472516896,-0.99,11,2.205333983187141,11.86528992652893
103,1000,2,MINE,3.9170355472516896,-0.99,12,1.7065669298171997,8.177220106124878
